Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
position	di atas	above								ietebe		itèbè	itèbè	itcébe	itèbè, dèbè					itebe, idebe	tebe:			ʔi-tem	iteb				8								
position	di atas	above																		yapaua	[e]apaua								1								
diseases	abses	abscess																						ken					1								
diseases	abses	abscess																							bak kareb			Mod. loanword from Minang? cf. Malay barah	1								
quantity	melimpah	abundant												echienia						kikəʔəka	kəʔəka							meaning1987K 'overfilled'_note: connection unclear	2								
other	kecelakaan	accident										aoenak² èabaa	aoenak² èabaa																2								
directions	seberang	across										pakoekoe	pakoekoe							pakũkũ hĩ	kũkũ (III)							meaning1891 'about'	3								
other	mengadopsi anak	adopt a child												coda						kaʔara	ʔara							note1894: likely a derivative of ara 'child', perhaps corresponding to Kähler hо̄ baʔara 'already have a child'_cf. give birth	2								
tools	kapak	adze									fanema	fanĕma	panĕma							epanõmãʔã	kõmãʔã								4								
emotion	takut	afraid									maho	kahok²	kahok²	coeue, cahò, [chèoba] mahò						kahãhõ	hãhõ			kããh	kã'ãh			meaning1891 'afraid, fear (v.)'_note1888: this word belongs to Helfrich's ""second dialect""_note1894: third word means 'brave' and literally means 'not fear'	7	*takut	fear	ACD	*takut	fear	ACD	Lafeber 1922:21	
emotion	takut	afraid									kanik																	note1888: This word belongs to Helfrich's ""first dialect""	1								
function words	setelah	after																		ahō	ahō								1								
abstract things	akhirat	afterlife													kèkiĕ abŏdō														1								
abstract things	akhirat	afterlife													kodanŏŏ														1								
abstract things	akhirat	afterlife													kodāpākāhā														1								
time	sore	afternoon										apoi	apoi															3 p.m._cf. evening	2	*Rabiqi	late afternoon	ACD	*Rabiqi	late afternoon	ACD	Krauße	irregular /o/ but maybe it's a mistranscription?
quantity	lagi	again												nuchi pecaia															1								
quantity	lagi	again										kahainoafè	kahainoafè							kahinũãpẽ	hinũã								3								
human features	lincah	agile										kièèo	kièèo																2								
natural objects	udara	air										kaèlaho	kaèlaho																2								
quantity	semua	all					khidrah					kidjĕra	kidjĕra	chidara	kidjĕrŏ		kiar	kidjera		kídera, kítera	kídera	ki	kiar	kiar	kitėr			meaning1894 'all, their'	12								
quantity	semua	all													fakidja														1								
quantity	semua	all													haèloedă(k)														1								
other	mengizinkan	allow																						nahai	nahai				2								
	sekutu	ally													ijabakoewā														1								
function words	hampir	almost										fanè	panè	bapanena	panĕha					panẽ̄	panẽ̄							cf. tight	5								
diseases	setengah pingsan	almost faint																						ki-kãʔũ	kĩkã'ũ				2								
diseases	setengah pingsan	almost faint																							kipahki'ė				1								
object features	hampir tidak terlihat	almost invisible																						pahnamik	kipahnamik				2								
function words	sudah	already										aböha	aböha	abóha	aboeha		abeh		ʔaˈbəh	abəha	abəha			ʔabɨx	abėh			cf. ready, finished, roast (v.), ripe	9								most likely derived from bəha 'ripe'
function words	sudah	already																ho̲o̲		hō	hō			ho		ho			4								
function words	selalu	always												bodo														cf. earlier	1								
activities	penyergapan	ambush										ofè	ofè																2								
activities	penyergapan	ambush										omokie	omokie																2								
people	leluhur	ancestor					na-apoea-kha-halé							napuaca	na(k) poewanahalè					enãʔãpũã	[e]nãʔãpũã							meaning1864 'people who lived long before us'_cf. crocodile	4								
people	leluhur	ancestor																		(ʔ)ũpũ	(ʔ)ũpũ								1								
human objects	jangkar	anchor (n.)					pahoe								èfakoe					eãpãkũ	pãkũ							meaning1895 'anchor, k.o. weight and measure'_meaning1987K 'anchor, wooden cylinder'	3	*batux	stone, testicle	ACD	*batu	stone, testicle	ACD	Edwards 2015:94	unexpected initial /a/; cf. *taŋan > ẽ-akahã, *talih > e-akadio; Smith (2020:362) finds the nasalization problematic
activities	berlabuh	anchor (v.)					menapa-pahoea oebah																						1	?			*sauq	anchor	ACD	Edwards 2015:97-98	unexpected final /a/
activities	berlabuh	anchor (v.)																		kikoa	koa								1								
activities	berlabuh	anchored										mahèkoe	mahèkoe		èhèkoe													meaning1895 'harbour'	3								derivative of hẽkũ 'sit'
function words	dan	and										hi	hi				hi	hii		hī, he	hī				he			meaning1979 'again'_meaning1987K 'and, with, plus'	6								
function words	dan	and																						kiʔaru					1								
function words	dan	and										farakoa	farakoa		farakoa														3								
function words	dan	and										ijo	ijo																2								
function words	dan	and													panako														1								
emotion	marah	angry										fahoewĕ, fahoewè, fahouwak	pahoewĕ, pahoewè, fahouwak	pahuna [chideidia]			pahu							pahu	kipahu			meaning1894 'anger'_note1894: literally 'his belly is angry'	6								
emotion	marah	angry																										gusar	0								
body parts	pergelangan kaki	ankle																				bakEa	bakEa					note: literally 'eye of leg'	2								
body parts	pergelangan kaki	ankle													kariha wae					ekadixa uae	[e]kadixa							note: literally 'ear of leg'	2								
emotion	mengganggu	annoy										ijarak² noha	ijarak² noha																2								
activities	jawaban	answer (n.)										adie	arie		paharie			adie	kar, ʔarha͜i	edadi, kadi	adi							meaning1895&1982 'answer (v.)'_note1986&1987K: first word means 'answer (n.)', second word means 'answer (v.)'	6								
activities	menjawab	answer (v.)										kifahoudiaĕ	kifahoudiaĕ																2								
animals	semut	ant	akiaki			akie akie																						in Kähler eʔakĩʔakĩ means 'swallow' (bird)	2								
animals	semut	ant									kihu	kiho	kiho		èkihŏ					ekixo	[e]kixo								5	*sijəm	ant	Nothofer 1986:101	*sijəm~sejem	ant, black ant	ACD	Edwards 2015:94-97, Nothofer 1986:101	the PMP etymon is actually PWMP, cf. Mentawai šigäp (Lafeber 1922:22); Smith (2020:355) proposes *kigəb as an intermediate stage
plants	pohon pinang	areca palm			aopa							èoefĕ	èoefa		èoefĕ					eupo	[e]upo							meaning1855vR&1891 'betel nut'	5								
plants	pohon pinang	areca palm													mŏnŏ èoepĕ (ènŏnŏ?)														1								
activities	membantah	argue												chèoba nene igidia															1								
activities	membantah	argue										paoewĕ	paoewĕ							pauahaʔa͜[o]	pauahaʔa								3								
body parts	lengan	arm										pĕrhaoedie	pĕrhaoedie	earahaori	pārāhāoedie					eparaha͜odi	[e]paraha͜odi							meaning1891 'underarm'	5								
body parts	tulang lengan	arm bone																		eʔā uʔapo	ʔā (II)								1								
body parts	ketiak	armpit										èalofa	èaropa		alŏfāa, arŏpāā					eʔaroʔopa, eʔaropa, eʔarupa	[e]ʔaroʔopa			ʔarop	yarop			meaning2011&2019 'underarm'	6								cf. Edwards (2015:68) for split of /o/
directions	sekitar	around										fakèèhèak²	pakèèhèak²		fakè èhèa, pakèèhèa					kipakẽʔẽ	kẽʔẽ (II)							meaning1987K 'force sb. to make a detour'	4								
activities	mengatur	arrange										fainènèak	painè nèak							epahanẽkũ	hẽkũ							meaning1987K 'ordering of bans'	3								
movement	sudah sampai	arrived										kababa	kababa	ho abacó	kababa													meaning1891&1895 'arrive'	4	?			*təka	come, arrive	ACD	Zobel	In Kähler's texts, the most common form is k-akəʔa
movement	sudah sampai	arrived													hoăko(k) wa(k)					hо̄ abakəʔa	ki-kəʔa							meaning1895 'arrive'	2								
tools	anak panah	arrow												ea pica	èara èpiko(k)					eara uipikoʔo͜i	[e]ara							meaning1891 'bow'_note1894: Modigliani says this term is used by the Malay people_note: Keuning (1955:192, fn. 11) says that the Enggano people never bore any bows and arrows and that the local spears were mistaken for bows and arrows_cf. bow (n.)	3								
function words	mengenai ...	as for ...										haba	haba																2								
movement	naik	ascend												ahi gèbe															1								
movement	naik	ascend										labia	labia	balalát															3								
movement	naik	ascend																		kinãʔã͜uã	inãʔã͜uã			naʔau	na'(a)u				3								
movement	naik	ascend										èlè	èlè																2								
natural objects	abu	ash										èföka	èpok	epò	èīpo(k)		epaikhya	föka		epũʔã	[e]pũʔã	p'ēq	pēq	paix, pɨ̃ʔ	ẽpė', epė̃			meaning1894 'fireplace'_meaning1987 'kitchen, cooking place, ash'_note2011&2019: first means 'ash', second word means 'fireplace' (same word?)	11								
